epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,40380,0.03168,0.93607,0.8849,0.7278,0.76134,0.82234,0.82234,0.10835,0.6918,0.257,0.001783,0.001783,0.001783
85,40860.1,0.03152,0.92977,0.88544,0.7247,0.76406,0.82241,0.82241,0.10479,0.68946,0.2524,0.001684,0.001684,0.001684
86,41341.6,0.0317,0.92727,0.88381,0.72686,0.76348,0.8226,0.8226,0.10287,0.6886,0.24997,0.001585,0.001585,0.001585
87,41828.6,0.03077,0.92002,0.88489,0.72831,0.76302,0.82271,0.82271,0.10167,0.68805,0.24852,0.001486,0.001486,0.001486
88,42310.7,0.03045,0.91383,0.88301,0.72763,0.76307,0.82309,0.82309,0.10025,0.68682,0.24673,0.001387,0.001387,0.001387
89,42798.2,0.0301,0.91205,0.88424,0.72651,0.76603,0.82353,0.82353,0.09811,0.68564,0.24396,0.001288,0.001288,0.001288
90,43284.3,0.02986,0.91426,0.88283,0.72895,0.76541,0.82376,0.82376,0.09521,0.68273,0.24007,0.001189,0.001189,0.001189
91,43808,0.02287,0.41413,0.89664,0.72381,0.77167,0.82412,0.82412,0.09251,0.67978,0.23643,0.00109,0.00109,0.00109
92,44288.7,0.0208,0.38125,0.89807,0.72499,0.77065,0.82448,0.82448,0.09023,0.67822,0.23323,0.000991,0.000991,0.000991
93,44784.9,0.02035,0.36329,0.89676,0.72531,0.77139,0.82495,0.82495,0.08685,0.67499,0.22854,0.000892,0.000892,0.000892
94,45257.3,0.01979,0.35261,0.89462,0.72851,0.7677,0.8253,0.8253,0.08356,0.67196,0.22408,0.000793,0.000793,0.000793
95,45732.2,0.01945,0.34184,0.89652,0.73167,0.76547,0.82575,0.82575,0.08066,0.66931,0.22024,0.000694,0.000694,0.000694
96,46209.2,0.01948,0.32269,0.89471,0.73251,0.76565,0.8262,0.8262,0.0769,0.66475,0.21527,0.000595,0.000595,0.000595
97,46683.6,0.01829,0.31301,0.89463,0.73293,0.76474,0.8266,0.8266,0.07404,0.66212,0.21144,0.000496,0.000496,0.000496
98,47161.5,0.01793,0.30469,0.89565,0.72665,0.77416,0.82688,0.82688,0.07254,0.66084,0.20938,0.000397,0.000397,0.000397
99,47644.8,0.01765,0.29865,0.89569,0.72796,0.77286,0.82729,0.82729,0.07126,0.65912,0.20758,0.000298,0.000298,0.000298
100,48130.5,0.01741,0.28352,0.89539,0.73151,0.76774,0.82745,0.82745,0.07075,0.659,0.20679,0.000199,0.000199,0.000199
