epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,18690.4,0.02374,0.20422,0.89719,0.73224,0.77473,0.82898,0.82897,0.1748,0.75183,0.3143,0.0037135,0.0037135,0.0037135
129,18942.5,0.02369,0.19208,0.90041,0.73283,0.77293,0.82874,0.82873,0.17452,0.7544,0.31392,0.003664,0.003664,0.003664
130,19194.8,0.02356,0.20155,0.89827,0.73186,0.77457,0.82861,0.8286,0.17449,0.7569,0.31369,0.0036145,0.0036145,0.0036145
131,19447.2,0.02414,0.18378,0.89789,0.73094,0.77546,0.82843,0.82842,0.17438,0.75915,0.3137,0.003565,0.003565,0.003565
132,19698.7,0.02345,0.1888,0.8956,0.72884,0.77817,0.82824,0.82822,0.17418,0.76231,0.31345,0.0035155,0.0035155,0.0035155
133,19951,0.02294,0.18998,0.8983,0.72794,0.77881,0.82794,0.82792,0.17336,0.76375,0.31255,0.003466,0.003466,0.003466
134,20203,0.02355,0.17898,0.89987,0.72425,0.77993,0.82755,0.82753,0.1726,0.76559,0.31164,0.0034165,0.0034165,0.0034165
135,20455.3,inf,0.1758,0.89599,0.7253,0.78048,0.82732,0.82731,0.17206,0.76768,0.31097,0.003367,0.003367,0.003367
136,20707.5,0.02355,0.18532,0.89982,0.72113,0.78318,0.82734,0.82733,0.17162,0.76973,0.31048,0.0033175,0.0033175,0.0033175
137,20960.4,0.02394,0.16386,0.8985,0.71948,0.78548,0.82717,0.82716,0.17126,0.77266,0.31016,0.003268,0.003268,0.003268
138,21213.3,inf,0.17193,0.89922,0.71814,0.78586,0.82654,0.82653,0.1705,0.77471,0.30938,0.0032185,0.0032185,0.0032185
139,21465.7,0.02358,0.16075,0.89936,0.71703,0.78649,0.82647,0.82646,0.16961,0.77676,0.30844,0.003169,0.003169,0.003169
